Index,Red,Green,Blue
0,0,0,0
1,0,0,18
2,0,1,25
3,0,1,31
4,0,1,36
5,0,2,40
6,0,2,44
7,0,2,47
8,0,3,51
9,0,3,54
10,0,3,57
11,0,4,59
12,0,4,62
13,0,4,64
14,0,4,67
15,0,5,69
16,0,5,71
17,0,5,74
18,0,6,76
19,0,6,78
20,0,6,80
21,0,7,82
22,0,7,83
23,0,7,85
24,0,8,87
25,0,8,89
26,0,8,90
27,0,9,92
28,0,9,94
29,0,9,95
30,0,10,97
31,0,10,98
32,0,10,100
33,0,11,101
34,0,11,103
35,0,11,104
36,0,11,106
37,0,12,107
38,0,12,108
39,0,12,110
40,0,13,111
41,0,13,112
42,0,13,114
43,0,14,115
44,0,14,116
45,0,14,118
46,0,15,119
47,0,15,120
48,0,15,121
49,0,16,122
50,0,16,123
51,0,16,125
52,0,17,126
53,0,17,127
54,0,17,128
55,0,18,129
56,0,18,130
57,0,18,131
58,0,18,132
59,0,19,133
60,0,19,134
61,0,19,135
62,0,20,136
63,0,20,137
64,0,20,138
65,0,21,139
66,0,21,140
67,0,21,141
68,0,22,142
69,0,22,143
70,0,22,144
71,0,23,145
72,0,23,146
73,0,23,147
74,0,24,148
75,0,24,149
76,0,24,150
77,0,25,150
78,0,25,151
79,0,25,152
80,0,26,153
81,0,26,154
82,0,26,155
83,0,26,156
84,0,27,156
85,0,27,157
86,0,27,158
87,0,28,159
88,0,28,160
89,0,28,160
90,0,29,161
91,0,29,162
92,0,29,163
93,0,30,163
94,0,30,164
95,0,30,165
96,0,31,166
97,0,31,166
98,0,31,167
99,0,32,168
100,0,32,169
101,0,32,169
102,0,33,170
103,0,33,171
104,0,33,172
105,0,33,172
106,0,34,173
107,0,34,174
108,0,34,174
109,0,35,175
110,0,35,176
111,0,35,176
112,0,36,177
113,0,36,178
114,0,36,178
115,0,37,179
116,0,37,180
117,0,37,180
118,0,38,181
119,0,38,181
120,0,38,182
121,0,39,183
122,0,39,183
123,0,39,184
124,0,40,185
125,0,40,185
126,0,40,186
127,0,40,186
128,0,41,187
129,0,41,188
130,0,41,188
131,0,42,189
132,0,42,189
133,0,42,190
134,0,43,190
135,0,43,191
136,0,43,192
137,0,44,192
138,0,44,193
139,0,44,193
140,0,45,194
141,0,45,194
142,0,45,195
143,0,46,195
144,0,46,196
145,0,46,196
146,0,47,197
147,0,47,198
148,0,47,198
149,0,47,199
150,0,48,199
151,0,48,200
152,0,48,200
153,0,49,201
154,0,49,201
155,0,49,202
156,0,50,202
157,0,50,203
158,0,50,203
159,0,51,204
160,0,51,204
161,0,51,204
162,0,52,205
163,0,52,205
164,0,52,206
165,0,53,206
166,0,53,207
167,0,53,207
168,0,54,208
169,0,54,208
170,0,54,209
171,0,55,209
172,0,55,210
173,0,55,210
174,0,55,210
175,0,56,211
176,0,56,211
177,0,56,212
178,0,57,212
179,0,57,213
180,0,57,213
181,0,58,213
182,0,58,214
183,0,58,214
184,0,59,215
185,0,59,215
186,0,59,215
187,0,60,216
188,0,60,216
189,0,60,217
190,0,61,217
191,0,61,217
192,0,61,218
193,0,62,218
194,0,62,219
195,0,62,219
196,0,62,219
197,0,63,220
198,0,63,220
199,0,63,220
200,0,64,221
201,0,64,221
202,0,64,222
203,0,65,222
204,0,65,222
205,0,65,223
206,0,66,223
207,0,66,223
208,0,66,224
209,0,67,224
210,0,67,224
211,0,67,225
212,0,68,225
213,0,68,225
214,0,68,226
215,0,69,226
216,0,69,226
217,0,69,227
218,0,69,227
219,0,70,227
220,0,70,228
221,0,70,228
222,0,71,228
223,0,71,229
224,0,71,229
225,0,72,229
226,0,72,230
227,0,72,230
228,0,73,230
229,0,73,231
230,0,73,231
231,0,74,231
232,0,74,231
233,0,74,232
234,0,75,232
235,0,75,232
236,0,75,233
237,0,76,233
238,0,76,233
239,0,76,233
240,0,77,234
241,0,77,234
242,0,77,234
243,0,77,235
244,0,78,235
245,0,78,235
246,0,78,235
247,0,79,236
248,0,79,236
249,0,79,236
250,0,80,236
251,0,80,237
252,0,80,237
253,0,81,237
254,0,81,237
255,0,81,238
256,0,82,238
257,0,82,238
258,0,82,238
259,0,83,239
260,0,83,239
261,0,83,239
262,0,84,239
263,0,84,240
264,0,84,240
265,0,84,240
266,0,85,240
267,0,85,240
268,0,85,241
269,0,86,241
270,0,86,241
271,0,86,241
272,0,87,242
273,0,87,242
274,0,87,242
275,0,88,242
276,0,88,242
277,0,88,243
278,0,89,243
279,0,89,243
280,0,89,243
281,0,90,243
282,0,90,244
283,0,90,244
284,0,91,244
285,0,91,244
286,0,91,244
287,0,91,245
288,0,92,245
289,0,92,245
290,0,92,245
291,0,93,245
292,0,93,246
293,0,93,246
294,0,94,246
295,0,94,246
296,0,94,246
297,0,95,246
298,0,95,247
299,0,95,247
300,0,96,247
301,0,96,247
302,0,96,247
303,0,97,247
304,0,97,248
305,0,97,248
306,0,98,248
307,0,98,248
308,0,98,248
309,0,98,248
310,0,99,248
311,0,99,249
312,0,99,249
313,0,100,249
314,0,100,249
315,0,100,249
316,0,101,249
317,0,101,249
318,0,101,250
319,0,102,250
320,0,102,250
321,0,102,250
322,0,103,250
323,0,103,250
324,0,103,250
325,0,104,250
326,0,104,251
327,0,104,251
328,0,105,251
329,0,105,251
330,0,105,251
331,0,106,251
332,0,106,251
333,0,106,251
334,0,106,252
335,0,107,252
336,0,107,252
337,0,107,252
338,0,108,252
339,0,108,252
340,0,108,252
341,0,109,252
342,0,109,252
343,0,109,252
344,0,110,252
345,0,110,253
346,0,110,253
347,0,111,253
348,0,111,253
349,0,111,253
350,0,112,253
351,0,112,253
352,0,112,253
353,0,113,253
354,0,113,253
355,0,113,253
356,0,113,253
357,0,114,254
358,0,114,254
359,0,114,254
360,0,115,254
361,0,115,254
362,0,115,254
363,0,116,254
364,0,116,254
365,0,116,254
366,0,117,254
367,0,117,254
368,0,117,254
369,0,118,254
370,0,118,254
371,0,118,254
372,0,119,254
373,0,119,254
374,0,119,254
375,0,120,255
376,0,120,255
377,0,120,255
378,0,120,255
379,0,121,255
380,0,121,255
381,0,121,255
382,0,122,255
383,0,122,255
384,0,122,255
385,0,123,255
386,0,123,255
387,0,123,255
388,0,124,255
389,0,124,255
390,0,124,255
391,0,125,255
392,0,125,255
393,0,125,255
394,0,126,255
395,0,126,255
396,0,126,255
397,0,127,255
398,0,127,255
399,0,127,255
400,0,128,255
401,0,128,255
402,0,129,255
403,0,129,255
404,0,130,255
405,0,130,255
406,0,131,255
407,0,131,255
408,0,132,255
409,0,132,255
410,0,133,255
411,0,133,255
412,0,134,255
413,0,134,255
414,0,134,255
415,0,135,255
416,0,135,255
417,0,136,255
418,0,136,255
419,0,136,255
420,0,137,255
421,0,137,255
422,0,137,255
423,0,138,255
424,0,138,255
425,0,139,255
426,0,139,255
427,0,139,255
428,0,140,255
429,0,140,255
430,0,140,255
431,0,141,255
432,0,141,255
433,0,141,254
434,0,142,254
435,0,142,254
436,0,142,254
437,0,143,254
438,0,143,254
439,0,143,254
440,0,144,254
441,0,144,254
442,0,144,254
443,0,145,254
444,0,145,254
445,0,145,254
446,0,146,254
447,0,146,254
448,0,146,254
449,0,147,254
450,0,147,254
451,0,147,254
452,0,148,254
453,0,148,254
454,0,148,254
455,0,148,254
456,0,149,254
457,0,149,254
458,0,149,254
459,0,150,254
460,0,150,254
461,0,150,254
462,0,151,254
463,0,151,253
464,0,151,253
465,0,152,253
466,0,152,253
467,0,152,253
468,0,152,253
469,0,153,253
470,0,153,253
471,0,153,253
472,0,154,253
473,0,154,253
474,0,154,253
475,0,154,253
476,0,155,253
477,0,155,253
478,0,155,253
479,0,156,253
480,0,156,253
481,0,156,253
482,0,156,253
483,0,157,253
484,0,157,253
485,0,157,252
486,0,158,252
487,0,158,252
488,0,158,252
489,0,158,252
490,0,159,252
491,0,159,252
492,0,159,252
493,0,159,252
494,0,160,252
495,0,160,252
496,0,160,252
497,0,160,252
498,0,161,252
499,0,161,252
500,0,161,252
501,0,162,252
502,0,162,252
503,0,162,252
504,0,162,251
505,0,163,251
506,0,163,251
507,0,163,251
508,0,163,251
509,0,164,251
510,0,164,251
511,0,164,251
512,0,164,251
513,0,165,251
514,0,165,251
515,0,165,251
516,0,165,251
517,0,166,251
518,0,166,251
519,0,166,251
520,0,166,251
521,0,167,250
522,0,167,250
523,0,167,250
524,0,167,250
525,0,168,250
526,0,168,250
527,0,168,250
528,0,168,250
529,0,169,250
530,0,169,250
531,0,169,250
532,0,169,250
533,0,170,250
534,0,170,250
535,0,170,250
536,0,170,250
537,0,171,249
538,0,171,249
539,0,171,249
540,0,171,249
